name,safety,cost_of_living,nightlife,public_transport,education_quality,average_cost,image_url,tagline
Los Angeles,3,3,4.0,3.0,3.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
San Diego,3,3,3.0,3.0,2.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
San Jose,3,3,3.0,3.0,3.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
San Francisco,3,3,5.0,4.0,4.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Fresno,3,3,3.0,2.0,3.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Sacramento,3,3,3.0,3.0,4.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Long Beach,3,3,4.0,3.0,4.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Oakland,3,3,4.0,4.0,4.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Bakersfield,3,3,2.0,2.0,2.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Anaheim,3,3,3.0,3.0,3.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Santa Ana,3,3,4.0,3.0,3.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Riverside,3,3,2.0,2.0,2.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Stockton,3,3,2.0,2.0,3.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Chula Vista,3,3,2.0,3.0,2.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Fremont,3,3,3.0,3.0,3.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Irvine,3,3,2.0,2.0,4.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Detroit,3,3,3.0,3.0,3.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Chicago,3,3,4.0,4.0,4.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Seattle,3,3,4.0,4.0,4.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Spokane,3,3,3.0,3.0,3.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Portland,3,3,4.0,3.0,5.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
New York,3,3,5.0,5.0,4.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Buffalo,3,3,4.0,3.0,3.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Phoenix,3,3,2.0,3.0,3.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Tucson,3,3,2.0,3.0,4.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Mesa,3,3,2.0,2.0,3.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Chandler,3,3,2.0,2.0,3.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Glendale,3,3,2.0,3.0,3.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Scottsdale,3,3,2.0,2.0,3.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Gilbert,3,3,1.0,2.0,3.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
New Orleans,3,3,3.0,3.0,4.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
Baton Rouge,3,3,2.0,,2.0,30000,https://via.placeholder.com/300x200,Modern urban vibe with balanced amenities
